gmapsurl,name,stars,nreviews,type,address,closingtime,businesspic,comment,,
https://www.google.com/maps/place/Prery+Event+Space/data=!4m7!3m6!1s0x880fd3310e86758f:0x9b0e73f05432905f!8m2!3d41.9130396!4d-87.6777963!16s%2Fg%2F11ry5jl8z3!19sChIJj3WGDjHTD4gRX5AyVPBzDps?authuser=0&hl=en&rclk=1,Prery Event Space,5,-7,Event venue,1720 N Damen Ave,⋅ Closes 12 AM,https://lh5.googleusercontent.com/p/AF1QipPtcxoLq8HJ2nmqaAMyQjErgD5BY9cFIGkLMwF9=w122-h92-k-no,"""... Santa's lap and take",professional,"quality photos that I will sincerely ..."""
https://www.google.com/maps/place/Ovation+Chicago/data=!4m7!3m6!1s0x880e2d4f78624979:0xb57760159dd0987a!8m2!3d41.8870112!4d-87.6850024!16s%2Fg%2F11b6hyppmx!19sChIJeUlieE8tDogRepjQnRVgd7U?authuser=0&hl=en&rclk=1,Ovation Chicago,4.8,-286,Event venue,2324 W Fulton St,⋅ Closes 12 AM,https://lh5.googleusercontent.com/p/AF1QipMvCUmZ6VJFOEcsATjCV6UrVEGYQ0UPhcV6lHIA=w137-h92-k-no,"""Excellent staff and",professional,""""
https://www.google.com/maps/place/The+Joinery/data=!4m7!3m6!1s0x880fd2989e18eb9b:0xe76c8d54c4715e2f!8m2!3d41.9165208!4d-87.6911874!16s%2Fg%2F11c2nrn886!19sChIJm-sYnpjSD4gRL15xxFSNbOc?authuser=0&hl=en&rclk=1,The Joinery,4.7,-123,Event venue,2533 W Homer St,⋅ Closes 12 AM,https://lh5.googleusercontent.com/p/AF1QipN5YGt34PBt0DQwzhD0f9mbAuffdvv1LxrjqyWr=w138-h92-k-no,"""Very clean, staff is",professional,"."""
https://www.google.com/maps/place/Art+Room+Events/data=!4m7!3m6!1s0x880fd2c76a318b47:0x8fc306538436949b!8m2!3d41.8890804!4d-87.6728418!16s%2Fg%2F11c1s9gwt4!19sChIJR4sxasfSD4gRm5Q2hFMGw48?authuser=0&hl=en&rclk=1,Art Room Events,4.9,-31,Event management company,1821 W Hubbard St,⋅ Closes 7 PM,https://lh5.googleusercontent.com/p/AF1QipNbe3jy7Tp7KaHOVHKPs9Ht8hGO7gRStgFyRqN0=w138-h92-k-no,"""Art Room did a great job for our",corporate,"event!"""
https://www.google.com/maps/place/Chicago+Live+Events/data=!4m7!3m6!1s0x880fd3f7bcaba991:0xe9e567697896ba19!8m2!3d41.8960136!4d-87.6316048!16s%2Fg%2F11hvp0ctls!19sChIJkamrvPfTD4gRGbqWeGln5ek?authuser=0&hl=en&rclk=1,Chicago Live Events,4.7,-15,Event venue,738 N Clark St Fl 2,,https://lh5.googleusercontent.com/p/AF1QipPKiPq5W9R-nzd8boOGnpjGtyvh--vztFknIKXJ=w122-h92-k-no,"""Owner is",professional,", helpful and detailed about"
https://www.google.com/maps/place/Venue+West/data=!4m7!3m6!1s0x880e2cd98c870e6f:0xe923d7f3b6850869!8m2!3d41.8860204!4d-87.669231!16s%2Fg%2F12vqrx6xh!19sChIJbw6HjNksDogRaQiFtvPXI-k?authuser=0&hl=en&rclk=1,Venue West,4.7,-222,Event venue,221 N Paulina St,,https://lh5.googleusercontent.com/p/AF1QipPC_y1qBmme4-6xtafHfPl6dQ3UP6xJ9XOdQMfp=w149-h92-k-no,"""Michael is very responsive and extremely",professional,"."""
https://www.google.com/maps/place/Room+1520/data=!4m7!3m6!1s0x880e2d2f79bf40d7:0x2b0f75e4199df1fd!8m2!3d41.8867352!4d-87.665345!16s%2Fg%2F1hm3c99kx!19sChIJ10C_eS8tDogR_fGdGeR1Dys?authuser=0&hl=en&rclk=1,Room 1520,4.4,-148,Event venue,1520 W Fulton St,,https://lh5.googleusercontent.com/p/AF1QipOEpid8xCsWhlkWdazeLqQ2lsSJdFY5Xyl9wYWV=w138-h92-k-no,"""Very",professional,and experience
https://www.google.com/maps/place/Level+K+Event+Space/data=!4m7!3m6!1s0x880e2db48f20207f:0x69c8857b96e33f0e!8m2!3d41.8512837!4d-87.6233042!16s%2Fg%2F11q4g3dynr!19sChIJfyAgj7QtDogRDj_jlnuFyGk?authuser=0&hl=en&rclk=1,Level K Event Space,5,-20,Event venue,"2255 South Michigan Avenue 1st floor, 110 E 23rd St ENTRANCE",,https://lh5.googleusercontent.com/p/AF1QipMWEJnvXjGkFWp0SYOrM42oYPl548MagmTnK4FP=w122-h92-k-no,"""Management is",professional,", pleasant and accommodating."""
https://www.google.com/maps/place/The+Study+Chicago/data=!4m7!3m6!1s0x880e2d37513ba3eb:0xd71929d156a1e2f9!8m2!3d41.886597!4d-87.67332!16s%2Fg%2F11b6tqmwy9!19sChIJ66M7UTctDogR-eKhVtEpGdc?authuser=0&hl=en&rclk=1,The Study Chicago,4.7,-15,Event venue,1837 W Fulton St,⋅ Closes 8 PM,https://lh5.googleusercontent.com/p/AF1QipNKXmSYPDK5ae04GugtiVM3XQjOaxeCSIYoMP-z=w152-h92-k-no,"""... the most",professional,", attentive and personable person I have met."""
https://www.google.com/maps/place/Chez+Wedding+Venue/data=!4m7!3m6!1s0x880e2caae286a289:0x5401fbdc7eec4cdb!8m2!3d41.893212!4d-87.62081!16s%2Fg%2F11bbrpj7gg!19sChIJiaKG4qosDogR20zsftz7AVQ?authuser=0&hl=en&rclk=1,Chez Wedding Venue,4.5,-122,Wedding venue,247 E Ontario St 2nd floor,,https://lh5.googleusercontent.com/p/AF1QipPPmSQzzFDQhY2DURGiyQym2Mj_W6S9VGHiIkDh=w137-h92-k-no,"""Nice,",professional,"and seated at ..."""
https://www.google.com/maps/place/The+School+House/data=!4m7!3m6!1s0x880fd3d31396ef89:0x1d63ec00f8238178!8m2!3d41.9016967!4d-87.6370684!16s%2Fg%2F11s9q3y8mb!19sChIJie-WE9PTD4gReIEj-ADsYx0?authuser=0&hl=en&rclk=1,The School House,4.7,-27,Event venue,1065 N Orleans St,⋅ Closes 10 PM,https://lh5.googleusercontent.com/p/AF1QipNpOKDUCUWwZE6COQESMPCsTr9FFq-g6g9KPEoV=w122-h92-k-no,"""What a unique space run by awesome people!""",,
https://www.google.com/maps/place/LM+Studio+Chicago/data=!4m7!3m6!1s0x880e2d766f3a5c1f:0x98bef7e65f0fc480!8m2!3d41.8714913!4d-87.6245734!16s%2Fg%2F11ngpkvnk_!19sChIJH1w6b3YtDogRgMQPX-b3vpg?authuser=0&hl=en&rclk=1,LM Studio Chicago,5,-20,Event venue,808 S Michigan Ave,,https://lh5.googleusercontent.com/p/AF1QipNKXSE1OuLYiXxSbUjkMfIq1vaZAgqPAD0nONU=w138-h92-k-no,"""Paulette and her team were both",professional,"and enjoyable to work with."""
https://www.google.com/maps/place/Venue+SIX10/data=!4m7!3m6!1s0x880e2c98c7789d2b:0xa1b99cfdb396e384!8m2!3d41.8740081!4d-87.6246643!16s%2Fg%2F1hc9wxg8r!19sChIJK514x5gsDogRhOOWs_2cuaE?authuser=0&hl=en&rclk=1,Venue SIX10,4.6,-222,Conference center,610 S Michigan Ave,,https://lh5.googleusercontent.com/p/AF1QipPxeMBsxBTc8F5Eiu-X1moAbJbK-wcYemyAHZQB=w122-h92-k-no,"""... to work with and equally as",professional,"."""
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x880e2df85bbbdd73:0xe277a2f429ca4d0c!8m2!3d41.8532298!4d-87.6501525!16s%2Fg%2F11h53mswpz!19sChIJc927W_gtDogRDE3KKfSid-I?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,,,Meeting planning service,2150 S Canalport Ave Suite 2A-11,⋅ Closes 5 PM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YaKCjTOfbSGCsvjBr8WXNA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=318.85663&pitch=0&thumbfov=100,,,
