gmapsurl,name,stars,nreviews,type,address,closingtime,businesspic,comment
https://www.google.com/maps/place/The+Suites+Collection+-+Theatre+District/data=!4m7!3m6!1s0x880e2cba963a901b:0x4e6f2aa08f3f163c!8m2!3d41.8851067!4d-87.6302164!16s%2Fg%2F1td2hhf1!19sChIJG5A6lrosDogRPBY_j6Aqb04?authuser=0&hl=en&rclk=1,The Suites Collection - Theatre District,,,Conference center,"Grant Thornton Tower, 60 W Randolph St",⋅ Opens 8:30 AM Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QvzVqJj3vFicicNf4jC-FQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=258.79416&pitch=0&thumbfov=100,
https://www.google.com/maps/place/Lawndale+Christian+Health+Center+The+Gallery/data=!4m7!3m6!1s0x880e325e993cceab:0x6d697202726009f6!8m2!3d41.8527226!4d-87.7208803!16s%2Fg%2F11g7y83c9c!19sChIJq848mV4yDogR9glgcgJyaW0?authuser=0&hl=en&rclk=1,Lawndale Christian Health Center The Gallery,4.8,-16,Conference center,3824 W Ogden Ave,⋅ Closes 9 PM,https://lh5.googleusercontent.com/p/AF1QipNpwDsyXDQoFCLlMacaCfsj9MkvvZ7WQ3_8ojda=w88-h92-k-no,
https://www.google.com/maps/place/Ukrainian+Cultural+Center/data=!4m7!3m6!1s0x880e2d4cb8ddca9f:0x5351fbf0a629dc98!8m2!3d41.8955556!4d-87.6836111!16s%2Fg%2F1tj1sp20!19sChIJn8rduEwtDogRmNwppvD7UVM?authuser=0&hl=en&rclk=1,Ukrainian Cultural Center,4.6,-149,Cultural center,2247 W Chicago Ave,,https://lh5.googleusercontent.com/p/AF1QipOlx46vIgopyV4v2zjxm3vUcGDPDgrfFdLJFkm8=w137-h92-k-no,"""Our Floral Design School has been using"
https://www.google.com/maps/place/CityPoint+Loft/data=!4m7!3m6!1s0x880e2c7ea6306acd:0xe1b5a5e44af86d0a!8m2!3d41.8154052!4d-87.6201288!16s%2Fg%2F1w665_fg!19sChIJzWowpn4sDogRCm34SuSlteE?authuser=0&hl=en&rclk=1,CityPoint Loft,4.4,-62,Conference center,4338 S Prairie Ave,⋅ Closes 8 PM,https://lh5.googleusercontent.com/p/AF1QipNlqbSSk3IFp3iVqCH3HZVBDeHk4LlluTqK4hm9=w136-h92-k-no,
https://www.google.com/maps/place/Expansive+Superior/data=!4m7!3m6!1s0x880e2dba249d99af:0x4b013cd300887987!8m2!3d41.8952471!4d-87.6389828!16s%2Fg%2F11h2k3n8q7!19sChIJr5mdJLotDogRh3mIANM8AUs?authuser=0&hl=en&rclk=1,Expansive Superior,4.4,-40,Conference center,405 W Superior St,,https://lh5.googleusercontent.com/p/AF1QipMDd-P0YRmcrB3KniJuyzPtzx52sC2KwEk-ot9c=w163-h92-k-no,Onsite services
https://www.google.com/maps/place/Expansive+100+S.+State+Street/data=!4m7!3m6!1s0x880e2d268024d541:0xde4c96a0c9856f7!8m2!3d41.8805613!4d-87.6280927!16s%2Fg%2F11rgh6432v!19sChIJQdUkgCYtDogR91aYDGrJ5A0?authuser=0&hl=en&rclk=1,Expansive 100 S. State Street,5,-6,Conference center,100 S State St,,https://lh5.googleusercontent.com/p/AF1QipO1wi0PGtJR5LTLTTT1kNm4c0Ley9bNu21KL576=w137-h92-k-no,Onsite services
https://www.google.com/maps/place/Expansive+West+Loop/data=!4m7!3m6!1s0x880e2cbf216b5fe7:0xbb3cc0b2ad3085c8!8m2!3d41.8796844!4d-87.6360405!16s%2Fg%2F1q64tkgtb!19sChIJ519rIb8sDogRyIUwrbLAPLs?authuser=0&hl=en&rclk=1,Expansive West Loop,4.4,-66,Conference center,318 W Adams St,,https://lh5.googleusercontent.com/p/AF1QipNfwJEQSARJnMg63bUQjgMecv11nEO9hNxHs06L=w138-h92-k-no,Onsite services
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x880e2d6cf6c4c3e1:0x1a25bfae54575b64!8m2!3d41.8794831!4d-87.6356643!16s%2Fg%2F11j080_t05!19sChIJ4cPE9mwtDogRZFtXVK6_JRo?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,,,Conference center,300 W Adams St Ste 800,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wXzkq7dw1HmihPVrnpxqFg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=32.62393&pitch=0&thumbfov=100,
https://www.google.com/maps/place/Lakeview+Executive+Suites/data=!4m7!3m6!1s0x880fd2564c3cdadd:0x2a401c5ce8e81fb7!8m2!3d41.9372927!4d-87.6651228!16s%2Fg%2F1tsjf7b7!19sChIJ3do8TFbSD4gRtx_o6FwcQCo?authuser=0&hl=en&rclk=1,Lakeview Executive Suites,,,Conference center,3047 N Lincoln Ave #400,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eIJqOp7BlVOiCM8glGEHGg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=1.7282692&pitch=0&thumbfov=100,
https://www.google.com/maps/place/Catalyst+Ranch/data=!4m7!3m6!1s0x880e2cc597cd4acb:0x281384f7e6df93e9!8m2!3d41.8847905!4d-87.6450279!16s%2Fg%2F1tfcttd0!19sChIJy0rNl8UsDogR6ZPf5veEEyg?authuser=0&hl=en&rclk=1,Catalyst Ranch,4.7,-175,Conference center,656 W Randolph St Ste 4E,⋅ Opens 8 AM Mon,https://lh5.googleusercontent.com/p/AF1QipM7nUVijqo8NlaqO5gqw-tM6Tc5-vwBRckbd46L=w122-h92-k-no,"""A great space - way better than the boring hotel conference room."""
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x880e2d803c1d0abf:0xa2ff997a75ab1c27!8m2!3d41.8815777!4d-87.6325826!16s%2Fg%2F11fps0szg3!19sChIJvwodPIAtDogRJxyrdXqZ_6I?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,,,Conference center,190 S LaSalle St,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4cNTEeNiUrMfY1dNkSQqnA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=270.97733&pitch=0&thumbfov=100,
https://www.google.com/maps/place/Davinci+Meeting+Rooms/data=!4m7!3m6!1s0x880e2d488c311291:0xa0ec49726a7c2042!8m2!3d41.8864644!4d-87.6275084!16s%2Fg%2F11h3l0n362!19sChIJkRIxjEgtDogRQiB8anJJ7KA?authuser=0&hl=en&rclk=1,Davinci Meeting Rooms,,,Conference center,1 E Wacker Dr 8th floor,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MyYj2DTsTDWebYkppblUwg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=85.7807&pitch=0&thumbfov=100,
https://www.google.com/maps/place/Fountain+Blue+Banquets+%26+Conference+Center/data=!4m7!3m6!1s0x880fb6505110a01d:0xc5459439e3114fb8!8m2!3d42.0113573!4d-87.8871484!16s%2Fg%2F1thcnc9r!19sChIJHaAQUVC2D4gRuE8R4zmURcU?authuser=0&hl=en&rclk=1,Fountain Blue Banquets & Conference Center,4.5,-180,Conference center,2300 Mannheim Rd,⋅ Opens 10 AM Sun,https://lh5.googleusercontent.com/p/AF1QipP88FQqiO8oBw6UAjDKOUNSbpbmdG8WQn8gQ-Yv=w122-h92-k-no,
https://www.google.com/maps/place/Expansive+The+Loop/data=!4m7!3m6!1s0x880e2cbc9d4207af:0xb2b01925b0dc52e7!8m2!3d41.8804017!4d-87.6302038!16s%2Fg%2F1pp2vc8s_!19sChIJrwdCnbwsDogR51LcsCUZsLI?authuser=0&hl=en&rclk=1,Expansive The Loop,4.6,-58,Conference center,73 W Monroe St,,https://lh5.googleusercontent.com/p/AF1QipM5ubqNEvOXAcM6UGA45GdcEcUGlcoMFAYTK-6o=w138-h92-k-no,Onsite services
https://www.google.com/maps/place/Illini+Center/data=!4m7!3m6!1s0x880e2cbf6ac71899:0xe2fe46c158ac85cb!8m2!3d41.8791193!4d-87.6376376!16s%2Fg%2F1tffpy8n!19sChIJmRjHar8sDogRy4WsWMFG_uI?authuser=0&hl=en&rclk=1,Illini Center,4.3,-6,Conference center,200 S Wacker Dr,⋅ Opens 8:30 AM Mon,https://lh5.googleusercontent.com/p/AF1QipOWOfHNZT8IG41pJ379ozrU4Dwd97ElIkv2nxIf=w122-h92-k-no,
https://www.google.com/maps/place/Expansive+Wacker/data=!4m7!3m6!1s0x880e2cb741b10f6f:0xf8afc56780b73a18!8m2!3d41.88645!4d-87.6346047!16s%2Fg%2F11byypg97t!19sChIJbw-xQbcsDogRGDq3gGfFr_g?authuser=0&hl=en&rclk=1,Expansive Wacker,4.9,-39,Conference center,211 W Wacker Dr,,https://lh5.googleusercontent.com/p/AF1QipN1-rY5f5MsLiCJataY4FYNdwuHalWNU69z_B08=w138-h92-k-no,Onsite services
https://www.google.com/maps/place/University+Club+of+Chicago/data=!4m7!3m6!1s0x880e2ca46d0802f7:0xb377915d20d85aa!8m2!3d41.880947!4d-87.624957!16s%2Fm%2F04cy9_k!19sChIJ9wIIbaQsDogRqoUN0hV5Nws?authuser=0&hl=en&rclk=1,University Club of Chicago,4.7,-585,Event venue,76 E Monroe St,,https://lh5.googleusercontent.com/p/AF1QipN1i3GRbfvdtLtHpZrlqkJvUQzwXI7r2zbIzQn7=w163-h92-k-no,"""I enjoy using the business center for work."""
https://www.google.com/maps/place/Athenaeum+Center+for+Thought+%26+Culture/data=!4m7!3m6!1s0x880fd2f8a6e5d279:0x89be60b3339a2b90!8m2!3d41.9354425!4d-87.6642267!16s%2Fm%2F0k2f3v7!19sChIJedLlpvjSD4gRkCuaM7Ngvok?authuser=0&hl=en&rclk=1,Athenaeum Center for Thought & Culture,4.5,-829,Performing arts theater,2936 N Southport Ave,,https://lh5.googleusercontent.com/p/AF1QipNzEe0RS728ErFsa9R40Kpxn8byWytFpfffnY_w=w138-h92-k-no,"""I came from Dallas that morning for an Earn Your Leisure"
"https://www.google.com/maps/place/Crowne+Plaza+Chicago+Ohare+Hotel+%26+Conf+Ctr,+an+IHG+Hotel/data=!4m10!3m9!1s0x880fb5fd0dfee2c9:0xdab982825f3073d2!5m2!4m1!1i2!8m2!3d41.9776439!4d-87.8641998!16s%2Fg%2F11h0qx9bk!19sChIJyeL-Df21D4gR0nMwX4KCudo?authuser=0&hl=en&rclk=1","Crowne Plaza Chicago Ohare Hotel & Conf Ctr, an IHG Hotel",3.9,"-3,281",4-star hotel,,,https://lh5.googleusercontent.com/p/AF1QipP1TghwSprO4l-ZTJaIBLhNfMHftj8d4_uVKhuC=w280-h92-k-no,"""Conference food was very good."""
https://www.google.com/maps/place/Row+24+Chicago/data=!4m7!3m6!1s0x880e2c7963e2810b:0xd94aa5a5b0ad8fb7!8m2!3d41.848917!4d-87.623313!16s%2Fg%2F11dzw85x11!19sChIJC4HiY3ksDogRt4-tsKWlStk?authuser=0&hl=en&rclk=1,Row 24 Chicago,4.7,-159,Event venue,2411 S Michigan Ave,⋅ Closes 12 AM,https://lh5.googleusercontent.com/p/AF1QipN_OxzqbcY43F458XbeqazCtiZHlrvEE0fS3kdY=w122-h92-k-no,"""... to Chicago from around the world for the ASCO"
https://www.google.com/maps/place/Chicago+South+Loop+Hotel/data=!4m10!3m9!1s0x880e2c7075b93b09:0x81e7bc715e175a8f!5m2!4m1!1i2!8m2!3d41.8452529!4d-87.6277863!16s%2Fg%2F1tkp5khq!19sChIJCTu5dXAsDogRj1oXXnG854E?authuser=0&hl=en&rclk=1,Chicago South Loop Hotel,3.9,"-2,137",3-star hotel,,,https://lh5.googleusercontent.com/p/AF1QipMmijcmDvB04atfM6o8pJci4ukFONJNEEcALz84=w138-h92-k-no,"""Only visited the meeting room which was large with beautiful lighting."""
https://www.google.com/maps/place/Venue+West/data=!4m7!3m6!1s0x880e2cd98c870e6f:0xe923d7f3b6850869!8m2!3d41.8860204!4d-87.669231!16s%2Fg%2F12vqrx6xh!19sChIJbw6HjNksDogRaQiFtvPXI-k?authuser=0&hl=en&rclk=1,Venue West,4.7,-222,Event venue,221 N Paulina St,,https://lh5.googleusercontent.com/p/AF1QipMr3ry8klcG3EeTHXe3stTKwtF72mfb1D0PcT4b=w122-h92-k-no,"""... held a national work"
